DATE,GDP,VT_GDP_EUA,VA_GDP_EUA
01/01/1994,10195.338,0.97031284,3.430523014
01/04/1994,10333.495,1.355099752,4.225399702
01/07/1994,10393.898,0.584536016,4.33678486
01/10/1994,10512.962,1.145518265,4.115926516
01/01/1995,10550.251,0.35469547,3.481130297
01/04/1995,10581.723,0.298305699,2.402168869
01/07/1995,10671.738,0.850664868,2.673106856
01/10/1995,10744.203,0.679036536,2.199579909
01/01/1996,10824.674,0.748971329,2.601103993
01/04/1996,11005.217,1.667883947,4.002127064
01/07/1996,11103.935,0.897010936,4.04992139
01/10/1996,11219.238,1.038397649,4.421314452
01/01/1997,11291.665,0.645560777,4.314134541
01/04/1997,11479.33,1.661978105,4.308074979
01/07/1997,11622.911,1.250778573,4.673802575
01/10/1997,11722.722,0.858743563,4.487684458
01/01/1998,11839.876,0.999375401,4.855005883
01/04/1998,11949.492,0.925820507,4.095726841
01/07/1998,12099.191,1.252764553,4.097768623
01/10/1998,12294.737,1.616190702,4.879540776
01/01/1999,12410.778,0.943826615,4.821857932
01/04/1999,12514.408,0.83500003,4.727531513
01/07/1999,12679.977,1.323027026,4.800205237
01/10/1999,12888.281,1.642779005,4.82762665
01/01/2000,12935.252,0.364447361,4.225955859
01/04/2000,13170.749,1.820583008,5.244682769
01/07/2000,13183.89,0.099774128,3.974084496
01/10/2000,13262.25,0.594361755,2.901620472
01/01/2001,13219.251,-0.324221003,2.195542847
01/04/2001,13301.394,0.621389215,0.991932957
01/07/2001,13248.142,-0.400349016,0.487352367
01/10/2001,13284.881,0.277314358,0.170642236
01/01/2002,13394.91,0.828227216,1.328812048
01/04/2002,13477.356,0.615502456,1.322883902
01/07/2002,13531.741,0.403528704,2.14066999
01/10/2002,13549.421,0.130655767,1.991286185
01/01/2003,13619.434,0.516723187,1.67618894
01/04/2003,13741.107,0.893377801,1.956993642
01/07/2003,13970.157,1.66689627,3.239908302
01/10/2003,14131.379,1.154045728,4.29507652
01/01/2004,14212.34,0.572916486,4.353382086
01/04/2004,14323.017,0.778738758,4.234811649
01/07/2004,14457.832,0.941247225,3.490834069
01/10/2004,14605.595,1.022027369,3.355765916
01/01/2005,14767.846,1.110882508,3.908617441
01/04/2005,14839.707,0.486604478,3.607410366
01/07/2005,14956.291,0.78562198,3.447674589
01/10/2005,15041.232,0.567928238,2.982672051
01/01/2006,15244.088,1.34866612,3.224857572
01/04/2006,15281.525,0.245583731,2.977269026
01/07/2006,15304.517,0.150456188,2.328291152
01/10/2006,15433.643,0.843711696,2.608901984
01/01/2007,15478.956,0.293598861,1.540715325
01/04/2007,15577.779,0.63843453,1.938641595
01/07/2007,15671.605,0.602306657,2.39855985
01/10/2007,15767.146,0.609644003,2.160883208
01/01/2008,15702.906,-0.407429474,1.446803001
01/04/2008,15792.773,0.572295345,1.380132559
01/07/2008,15709.562,-0.526892902,0.242202378
01/10/2008,15366.607,-2.183097148,-2.54033926
01/01/2009,15187.475,-1.165722531,-3.282392444
01/04/2009,15161.772,-0.169238139,-3.995504779
01/07/2009,15216.647,0.361929991,-3.137675003
01/10/2009,15379.155,1.06796195,0.081657584
01/01/2010,15456.059,0.500053481,1.768457232
01/04/2010,15605.628,0.967704639,2.927467845
01/07/2010,15726.282,0.77314415,3.349193814
01/10/2010,15807.995,0.519595159,2.788449691
01/01/2011,15769.911,-0.240916068,2.030608191
01/04/2011,15876.839,0.678050751,1.737905069
01/07/2011,15870.684,-0.038767163,0.918220848
01/10/2011,16048.702,1.121678183,1.522691524
01/01/2012,16179.968,0.817922845,2.600249298
01/04/2012,16253.726,0.455859987,2.37381635
01/07/2012,16282.151,0.174882978,2.592622977
01/10/2012,16300.035,0.109838067,1.566064346
01/01/2013,16441.485,0.867789548,1.616301095
01/04/2013,16464.402,0.13938522,1.29617049
01/07/2013,16594.743,0.791653411,1.91984462
01/10/2013,16712.76,0.711171002,2.532049778
01/01/2014,16654.247,-0.350109737,1.294055859
01/04/2014,16868.109,1.284128907,2.451999168
01/07/2014,17064.616,1.164961644,2.831456926
01/10/2014,17141.235,0.448993402,2.563759666
01/01/2015,17280.647,0.813313626,3.761202773
01/04/2015,17380.875,0.580001432,3.039854675
01/07/2015,17437.08,0.323372673,2.182668511
01/10/2015,17462.579,0.146234347,1.874684059
01/01/2016,17565.465,0.589179869,1.648190603
01/04/2016,17618.581,0.302388807,1.36762965
01/07/2016,17724.489,0.601115379,1.648263356
01/10/2016,17812.56,0.496888796,2.004177046
01/01/2017,17896.623,0.471931042,1.88527887
01/04/2017,17996.802,0.559764823,2.146716583
01/07/2017,18126.226,0.719149991,2.266564638
01/10/2017,18296.685,0.940399838,2.717885582
01/01/2018,18436.262,0.762854036,3.015311883
01/04/2018,18590.004,0.833910909,3.296152283
01/07/2018,18679.599,0.481952559,3.052885912
01/10/2018,18721.281,0.223141835,2.320617095
01/01/2019,18833.195,0.59779029,2.153001514
01/04/2019,18982.528,0.792924408,2.111478836
01/07/2019,19112.653,0.685498791,2.318325998
01/10/2019,19202.31,0.469097618,2.569423535
01/01/2020,18951.992,-1.303582746,0.630785164
01/04/2020,17258.205,-8.937250501,-9.083737424
01/07/2020,18560.774,7.547534636,-2.887505989
01/10/2020,18767.778,1.115276766,-2.262915243
01/01/2021,19055.655,1.533889627,0.546976803
01/04/2021,19368.31,1.64074654,12.22667711
01/07/2021,19478.893,0.570948111,4.946555569
01/10/2021,19806.29,1.680778266,5.533484038
